Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,2909      
Trigger,0         
Start time,2021-03-24,16:15:42
End time,2021-03-24,16:39:56
Trigger time,2021-03-24,16:15:42
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,0,17,0
CH9," CH 9","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],17,11,7,0
CH10," CH10","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],19,27,0,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
        38,2021/03/24 16:16:00,500,+  16.5,+  16.1,+  16.5,+  17.1,+  25.4,+  51.7,+  44.6,+  57.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        39,2021/03/24 16:16:01,  0,+  16.5,+  15.9,+  16.5,+  17.4,+  25.5,+  52.2,+  44.8,+  57.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        40,2021/03/24 16:16:01,500,+  16.6,+  16.1,+  16.6,+  17.1,+  25.5,+  52.0,+  45.0,+  57.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        41,2021/03/24 16:16:02,  0,+  16.6,+  16.1,+  16.6,+  17.2,+  25.5,+  52.2,+  45.1,+  58.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        42,2021/03/24 16:16:02,500,+  16.7,+  16.1,+  16.5,+  17.1,+  25.6,+  52.2,+  45.3,+  58.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        43,2021/03/24 16:16:03,  0,+  16.7,+  16.1,+  16.6,+  17.2,+  25.6,+  52.4,+  45.6,+  58.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        44,2021/03/24 16:16:03,500,+  16.6,+  16.2,+  16.4,+  17.2,+  25.8,+  52.5,+  45.5,+  59.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        45,2021/03/24 16:16:04,  0,+  16.7,+  16.1,+  16.5,+  17.3,+  25.7,+  52.6,+  45.6,+  59.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        46,2021/03/24 16:16:04,500,+  16.8,+  16.2,+  16.4,+  17.2,+  25.8,+  52.7,+  46.0,+  59.7,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        47,2021/03/24 16:16:05,  0,+  16.7,+  16.1,+  16.5,+  17.2,+  25.8,+  52.8,+  46.1,+  59.9,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
